line,departure_name,departure_time,arrival_time,arrival_name,distance,driving_time,pause,rotation_id,vehicle_type,vehicle_id
7015,Artrium, 2022-07-05 15:27:00 , 2022-07-05 15:30:00 ,Marktplatz,0.37, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Therme, 2022-07-05 15:31:00 , 2022-07-05 15:34:00 ,Artrium,0.32, 00:03:00, 00:01:00,,SH_oppb-0,0
7015,Gries, 2022-07-05 15:34:00 , 2022-07-05 15:39:00 ,Therme,0.85, 00:05:00, 00:00:00,,SH_oppb-0,0
7015,Bahnhof, 2022-07-05 15:39:00 , 2022-07-05 15:42:00 ,Gries,0.53, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Artrium, 2022-07-05 15:42:00 , 2022-07-05 15:45:00 ,Bahnhof,0.53, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Marktplatz, 2022-07-05 15:46:00 , 2022-07-05 15:49:00 ,Gries,0.85, 00:03:00, 00:01:00,,SH_oppb-0,0
7015,Artrium, 2022-07-05 15:49:00 , 2022-07-05 15:52:00 ,Therme,0.32, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Therme, 2022-07-05 15:52:00 , 2022-07-05 15:57:00 ,Artrium,0.37, 00:05:00, 00:00:00,,SH_oppb-0,0
7015,Gries, 2022-07-05 15:57:00 , 2022-07-05 16:00:00 ,Marktplatz,0.37, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Bahnhof, 2022-07-05 16:01:00 , 2022-07-05 16:04:00 ,Artrium,0.32, 00:03:00, 00:01:00,,SH_oppb-0,0
7015,Gries, 2022-07-05 16:04:00 , 2022-07-05 16:09:00 ,Therme,0.85, 00:05:00, 00:00:00,,SH_oppb-0,0
7015,Therme, 2022-07-05 16:09:00 , 2022-07-05 16:12:00 ,Gries,0.53, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Artrium, 2022-07-05 16:19:00 , 2022-07-05 16:22:00 ,Bahnhof,0.53, 00:03:00, 00:07:00,,SH_oppb-0,0
7015,Marktplatz, 2022-07-05 16:22:00 , 2022-07-05 16:27:00 ,Gries,0.37, 00:05:00, 00:00:00,,SH_oppb-0,0
7015,Artrium, 2022-07-05 16:27:00 , 2022-07-05 16:30:00 ,Therme,0.37, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Therme, 2022-07-05 16:31:00 , 2022-07-05 16:34:00 ,Artrium,0.32, 00:03:00, 00:01:00,,SH_oppb-0,0
7015,Gries, 2022-07-05 16:34:00 , 2022-07-05 16:39:00 ,Marktplatz,0.37, 00:05:00, 00:00:00,,SH_oppb-0,0
