vehicle_type,level_of_loading,incline,mean_speed,t_amb,consumption
EZ10,0,-0.02,17.957,6,0.281
EZ10,0,-0.02,17.957,8,0.252
EZ10,0,-0.02,17.957,10,0.224
EZ10,0,-0.02,17.957,12,0.197
EZ10,0,-0.02,17.957,14,0.172
EZ10,0,-0.02,17.957,16,0.196
EZ10,0,-0.02,17.957,18,0.171
EZ10,0,-0.02,17.957,20,0.149
EZ10,0,-0.02,17.957,22,0.159
EZ10,0,-0.02,17.957,24,0.151
EZ10,0,-0.02,17.957,26,0.15
EZ10,0,-0.02,17.957,28,0.156
EZ10,0,-0.02,17.957,30,0.165
EZ10,0,-0.02,17.957,32,0.151
EZ10,0,-0.02,25.184,-16,0.415
EZ10,0,-0.02,25.184,-14,0.393
EZ10,0,-0.02,25.184,-12,0.372
EZ10,0,-0.02,25.184,-10,0.351
EZ10,0,-0.02,25.184,-8,0.33
EZ10,0,-0.02,25.184,-6,0.31
EZ10,0,-0.02,25.184,-4,0.309
EZ10,0,-0.02,25.184,-2,0.289
EZ10,0,-0.02,25.184,0,0.27
EZ10,0,-0.02,25.184,2,0.269
EZ10,0,-0.02,25.184,4,0.251
EZ10,0,-0.02,25.184,6,0.233
EZ10,0,-0.02,25.184,8,0.215
EZ10,0,-0.02,25.184,10,0.198
EZ10,0,-0.02,25.184,12,0.182
EZ10,0,-0.02,25.184,14,0.166
EZ10,0,-0.02,25.184,16,0.18
EZ10,0,-0.02,25.184,18,0.164
EZ10,0,-0.02,25.184,20,0.149
EZ10,0,-0.02,25.184,22,0.156
EZ10,0,-0.02,25.184,24,0.15
EZ10,0,-0.02,25.184,26,0.149
EZ10,0,-0.01,2.626,-16,14.299
EZ10,0,-0.01,2.626,-14,12.807
EZ10,0,-0.02,25.184,28,0.153
EZ10,0,-0.02,25.184,30,0.158
EZ10,0,-0.01,2.626,-12,11.39
EZ10,0,-0.02,25.184,32,0.149
EZ10,0,-0.01,2.626,-10,10.047
EZ10,0,-0.01,2.626,-8,8.778
EZ10,0,-0.01,2.626,-6,7.583
EZ10,0,-0.01,2.626,-4,7.514
EZ10,0,-0.01,2.626,-2,6.404
EZ10,0,-0.01,2.626,0,5.368
EZ10,0,-0.01,2.626,2,5.323
EZ10,0,-0.01,2.626,4,4.371
EZ10,0,-0.01,2.626,6,3.495
EZ10,0,-0.01,2.626,8,2.699
EZ10,0,-0.01,2.626,10,1.987
EZ10,0,-0.01,2.626,12,1.367
EZ10,0,-0.01,2.626,14,0.856
EZ10,0,-0.01,2.626,16,1.353
EZ10,0,-0.01,2.626,18,0.85
EZ10,0,-0.01,2.626,20,0.501
EZ10,0,-0.01,2.626,22,0.648
EZ10,0,-0.01,2.626,24,0.538
EZ10,0,-0.01,2.626,26,0.538
EZ10,0,-0.01,2.626,28,0.668
EZ10,0,-0.01,2.626,30,0.869
EZ10,0,-0.01,2.626,32,0.59
EZ10,0,-0.01,12.115,-16,0.899
EZ10,0,-0.01,12.115,-14,0.832
EZ10,0,-0.01,12.115,-12,0.768
EZ10,0,-0.01,12.115,-10,0.706
EZ10,0,-0.01,12.115,-8,0.646
EZ10,0,-0.01,12.115,-6,0.588
EZ10,0,-0.01,12.115,-4,0.585
EZ10,0,-0.01,12.115,0,0.478
EZ10,0,-0.01,12.115,-2,0.53
EZ10,0,-0.01,12.115,2,0.475
EZ10,0,-0.01,12.115,4,0.425
EZ10,0,-0.01,12.115,6,0.377
EZ10,0,-0.01,12.115,8,0.332
EZ10,0,-0.01,12.115,12,0.248
EZ10,0,-0.01,12.115,10,0.289
EZ10,0,-0.01,12.115,14,0.211
EZ10,0,-0.01,12.115,16,0.247
EZ10,0,-0.01,12.115,18,0.21
EZ10,0,-0.01,12.115,22,0.193
EZ10,0,-0.01,12.115,24,0.181
EZ10,0,-0.01,12.115,20,0.178
EZ10,0,-0.01,12.115,26,0.181
EZ10,0,-0.01,12.115,28,0.191
EZ10,0,-0.01,12.115,30,0.206
EZ10,0,-0.01,12.115,32,0.185
EZ10,0,-0.01,17.957,-16,0.645
EZ10,0,-0.01,17.957,-14,0.603
EZ10,0,-0.01,17.957,-12,0.563
EZ10,0,-0.01,17.957,-10,0.524
EZ10,0,-0.01,17.957,-8,0.486
EZ10,0,-0.01,17.957,-6,0.45
EZ10,0,-0.01,17.957,-2,0.412
EZ10,0,-0.01,17.957,-4,0.447
EZ10,0,-0.01,17.957,0,0.379
EZ10,0,-0.01,17.957,2,0.377
EZ10,0,-0.01,17.957,4,0.345
EZ10,0,-0.01,17.957,6,0.314
EZ10,0,-0.01,17.957,10,0.257
EZ10,0,-0.01,17.957,8,0.285
EZ10,0,-0.01,17.957,12,0.23
EZ10,0,-0.01,17.957,14,0.205
EZ10,0,-0.01,17.957,16,0.228
EZ10,0,-0.01,17.957,18,0.204
EZ10,0,-0.01,17.957,22,0.192
EZ10,0,-0.01,17.957,20,0.182
EZ10,0,-0.01,17.957,24,0.183
EZ10,0,-0.01,17.957,26,0.183
EZ10,0,-0.01,17.957,28,0.189
EZ10,0,-0.01,17.957,30,0.198
EZ10,0,-0.01,17.957,32,0.184
EZ10,0,-0.01,25.184,-16,0.449
EZ10,0,-0.01,25.184,-14,0.427
EZ10,0,-0.01,25.184,-12,0.405
EZ10,0,-0.01,25.184,-10,0.384
EZ10,0,-0.01,25.184,-8,0.364
EZ10,0,-0.01,25.184,-6,0.344
EZ10,0,-0.01,25.184,-4,0.342
EZ10,0,-0.01,25.184,-2,0.323
EZ10,0,-0.01,25.184,0,0.304
EZ10,0,-0.01,25.184,2,0.302
EZ10,0,-0.01,25.184,4,0.284
EZ10,0,-0.01,25.184,8,0.249
EZ10,0,-0.01,25.184,6,0.266
EZ10,0,-0.01,25.184,10,0.232
EZ10,0,-0.01,25.184,12,0.215
EZ10,0,-0.01,25.184,14,0.199
EZ10,0,-0.01,25.184,16,0.213
EZ10,0,-0.01,25.184,18,0.198
EZ10,0,-0.01,25.184,20,0.183
EZ10,0,-0.01,25.184,22,0.189
EZ10,0,-0.01,25.184,24,0.183
EZ10,0,-0.01,25.184,26,0.182
EZ10,0,0,2.626,-16,14.33
EZ10,0,0,2.626,-14,12.838
EZ10,0,-0.01,25.184,28,0.186
EZ10,0,-0.01,25.184,30,0.192
EZ10,0,0,2.626,-12,11.421
EZ10,0,-0.01,25.184,32,0.182
EZ10,0,0,2.626,-8,8.809
EZ10,0,0,2.626,-6,7.614
EZ10,0,0,2.626,-10,10.078
EZ10,0,0,2.626,-4,7.545
EZ10,0,0,2.626,0,5.399
EZ10,0,0,2.626,-2,6.435
EZ10,0,0,2.626,2,5.354
EZ10,0,0,2.626,4,4.402
EZ10,0,0,2.626,6,3.527
EZ10,0,0,2.626,8,2.73
EZ10,0,0,2.626,12,1.398
